Date,Symbol,Series,Open,High,Low,Close,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
04/12/2003,RELIANCE,EQ,490.45,511.5,490.45,508.7,12859046,6.50177E+14,,2257316,0.1755
05/12/2003,RELIANCE,EQ,510,512,491.2,493.05,5893629,2.96001E+14,,934182,0.1585
08/12/2003,RELIANCE,EQ,489.15,494.25,477.35,479.9,8118846,3.92374E+14,,2432862,0.2997
09/12/2003,RELIANCE,EQ,481.35,488.35,481.35,486.6,5662655,2.74804E+14,,1439392,0.2542
10/12/2003,RELIANCE,EQ,487.5,502.45,486.1,497.6,10279517,5.08983E+14,,3146931,0.3061
11/12/2003,RELIANCE,EQ,501.1,504,489.2,493.1,7431704,3.6882E+14,,1582331,0.2129
12/12/2003,RELIANCE,EQ,496.05,496.05,487.55,491.3,4966075,2.43665E+14,,646687,0.1302
15/12/2003,RELIANCE,EQ,492,502.3,492,499,5962251,2.96962E+14,,1075889,0.1805
16/12/2003,RELIANCE,EQ,498.8,507.45,492.65,504.8,9055688,4.52168E+14,,2311164,0.2552
17/12/2003,RELIANCE,EQ,506,507.4,500.1,502.75,6225689,3.13581E+14,,1116043,0.1793
18/12/2003,RELIANCE,EQ,499.8,511.3,499.8,506.95,6839994,3.46714E+14,,1581924,0.2313
19/12/2003,RELIANCE,EQ,508,522.95,508,520.7,10672249,5.5209E+14,,3291927,0.3085
22/12/2003,RELIANCE,EQ,521.15,530,521.15,527.55,4295096,2.25671E+14,,1170611,0.2725
23/12/2003,RELIANCE,EQ,435,529.8,435,522.4,4602904,2.41299E+14,,1177845,0.2559
24/12/2003,RELIANCE,EQ,520.15,531,520.15,527.9,4344835,2.28307E+14,,868804,0.2
26/12/2003,RELIANCE,EQ,531.15,532.7,527.25,530.2,3439245,1.8227E+14,,696612,0.2025
29/12/2003,RELIANCE,EQ,533,538.95,532.2,537.25,3312897,1.778E+14,,917364,0.2769
30/12/2003,RELIANCE,EQ,537,580,535.25,562.7,12317141,6.87432E+14,,3077334,0.2498
31/12/2003,RELIANCE,EQ,562,582.8,562,572.85,11471408,6.58656E+14,,2340341,0.204
01/01/2004,RELIANCE,EQ,580,580,567.15,570.65,4071252,2.33789E+14,,704060,0.1729
02/01/2004,RELIANCE,EQ,574.5,588.9,570.65,585.2,8115756,4.71338E+14,,2099061,0.2586
05/01/2004,RELIANCE,EQ,585,589.9,572,580.05,6100815,3.54498E+14,,1519399,0.249
06/01/2004,RELIANCE,EQ,581,588.5,564.05,572.4,5795339,3.3729E+14,,1185178,0.2045
07/01/2004,RELIANCE,EQ,570.2,582.5,567,580.15,5944876,3.40989E+14,,1305220,0.2196
08/01/2004,RELIANCE,EQ,585,597.9,583.15,590.1,5339567,3.16106E+14,,1488752,0.2788
09/01/2004,RELIANCE,EQ,600,605.65,575.15,578.65,8761265,5.15574E+14,,2492196,0.2845
12/01/2004,RELIANCE,EQ,578,583.9,568.2,571.25,5588734,3.21794E+14,,1548199,0.277
13/01/2004,RELIANCE,EQ,573.25,589.5,572.25,587.4,5872486,3.4096E+14,,1355059,0.2307
14/01/2004,RELIANCE,EQ,590,599,590,597,5109994,3.04307E+14,,1111480,0.2175
15/01/2004,RELIANCE,EQ,603.5,605.9,574.6,578.1,6724119,3.96295E+14,,925082,0.1376
16/01/2004,RELIANCE,EQ,585,586.8,572,581.1,8057492,4.66501E+14,,1734238,0.2152
19/01/2004,RELIANCE,EQ,581.15,589,569.1,584.75,5572406,3.2208E+14,,1130869,0.2029
20/01/2004,RELIANCE,EQ,589,597.8,570.35,574.45,6050968,3.54174E+14,,773035,0.1278
21/01/2004,RELIANCE,EQ,571.25,579.7,547.6,552.95,6471951,3.66141E+14,,1276658,0.1973
22/01/2004,RELIANCE,EQ,553,574.9,527.25,535.25,10218853,5.64716E+14,,2183854,0.2137
23/01/2004,RELIANCE,EQ,539,561.25,531.75,557.85,9296411,5.09889E+14,,1823162,0.1961
27/01/2004,RELIANCE,EQ,562.05,583.4,560.35,580.65,7072111,4.0447E+14,,1712455,0.2421
28/01/2004,RELIANCE,EQ,588,589.25,569.55,575.7,8354537,4.84441E+14,,1623141,0.1943
29/01/2004,RELIANCE,EQ,581,585.9,565.3,571.5,14791246,8.5475E+14,,2136585,0.1444
30/01/2004,RELIANCE,EQ,572.5,579.4,558,560.55,6169266,3.51513E+14,,1090395,0.1767
03/02/2004,RELIANCE,EQ,562,564.8,548.9,553.7,6913665,3.8531E+14,,1730576,0.2503
04/02/2004,RELIANCE,EQ,555.35,575,549.55,571.4,7371400,4.1426E+14,,1460361,0.1981
05/02/2004,RELIANCE,EQ,574.5,578.5,559.3,564.6,7220332,4.11158E+14,,1298202,0.1798
06/02/2004,RELIANCE,EQ,568.75,577,564.1,575.4,6548357,3.74087E+14,,1256270,0.1918
09/02/2004,RELIANCE,EQ,578.5,590,578.5,588.7,4990849,2.9186E+14,,1342244,0.2689
10/02/2004,RELIANCE,EQ,592,598.4,585.6,593.25,8848744,5.24449E+14,,1817378,0.2054
11/02/2004,RELIANCE,EQ,620,620,581.1,587.3,6210047,3.65884E+14,,1390271,0.2239
12/02/2004,RELIANCE,EQ,590.25,594.9,584,587.7,5921079,3.49168E+14,,1286653,0.2173
13/02/2004,RELIANCE,EQ,586.15,597.4,584.1,595.4,4672041,2.76395E+14,,1454936,0.3114
16/02/2004,RELIANCE,EQ,598,602,590.25,592.95,5692413,3.39962E+14,,1731341,0.3041
17/02/2004,RELIANCE,EQ,592.1,605,590,598.75,9221574,5.52606E+14,,2481192,0.2691
18/02/2004,RELIANCE,EQ,601.85,610.5,600.15,604.85,11285784,6.85184E+14,,3809410,0.3375
19/02/2004,RELIANCE,EQ,605.1,609,580.05,582.35,8352121,4.95223E+14,,1839721,0.2203
20/02/2004,RELIANCE,EQ,581.1,595,580.5,587.45,10037773,5.88741E+14,,2927502,0.2916
